"LanguageType","language","Participant","ListUnique","ListOrder","TargetTrial","Item","ItemWithinScene","ItemScene","MannerVariant","SameMannerResponse","FirstTrial.SameMannerResponse"
"verb-framed","Basque","ba.1","1a","ascending",1,"et_tr_sp_l_ro_r","61","tr","left",0,0
"verb-framed","Basque","ba.1","1a","ascending",2,"et_rl_sl_u_sp_d","53","rl","left",0,0
"verb-framed","Basque","ba.1","1a","ascending",3,"et_hc_sp_l_r_ro","59","hc","right",0,0
"verb-framed","Basque","ba.1","1a","ascending",4,"et_rl_ro_u_d_ju","33","rl","right",1,0
"verb-framed","Basque","ba.1","1a","ascending",5,"et_tr_sl_r_l_sp","48","tr","right",1,0
"verb-framed","Basque","ba.1","1a","ascending",6,"et_rl_ju_d_sl_u","1","rl","left",0,0
"verb-framed","Basque","ba.1","1a","ascending",7,"et_hc_sl_r_sp_l","50","hc","left",0,0
"verb-framed","Basque","ba.1","1a","ascending",8,"et_tr_ju_l_r_sl","4","tr","right",0,0
"verb-framed","Basque","ba.1","1a","ascending",9,"et_hc_ju_l_sl_r","7","hc","left",0,0
"verb-framed","Basque","ba.1","1a","ascending",10,"et_tr_ro_r_ju_l","27","tr","left",1,0
"verb-framed","Basque","ba.1","1a","ascending",11,"et_hc_ro_r_l_ju","28","hc","right",1,0
"verb-framed","Basque","ba.1","1a","ascending",12,"et_rl_sp_d_u_ro","55","rl","right",0,0
"verb-framed","Basque","ba.3","1b","ascending",1,"et_tr_sp_r_ro_l","67","tr","left",0,0
"verb-framed","Basque","ba.3","1b","ascending",2,"et_rl_sl_d_sp_u","38","rl","left",0,0
"verb-framed","Basque","ba.3","1b","ascending",3,"et_hc_sp_r_l_ro","65","hc","right",0,0
"verb-framed","Basque","ba.3","1b","ascending",4,"et_rl_ro_d_u_ju","18","rl","right",0,0
"verb-framed","Basque","ba.3","1b","ascending",5,"et_tr_sl_l_r_sp","42","tr","right",0,0
"verb-framed","Basque","ba.3","1b","ascending",6,"et_rl_ju_u_sl_d","16","rl","left",0,0
"verb-framed","Basque","ba.3","1b","ascending",7,"et_hc_sl_l_sp_r","44","hc","left",0,0
"verb-framed","Basque","ba.3","1b","ascending",8,"et_tr_ju_r_l_sl","10","tr","right",0,0
"verb-framed","Basque","ba.3","1b","ascending",9,"et_hc_ju_r_sl_l","13","hc","left",0,0
"verb-framed","Basque","ba.3","1b","ascending",10,"et_tr_ro_l_ju_r","21","tr","left",0,0
"verb-framed","Basque","ba.3","1b","ascending",11,"et_hc_ro_l_r_ju","22","hc","right",0,0
"verb-framed","Basque","ba.3","1b","ascending",12,"et_rl_sp_u_d_ro","70","rl","right",0,0
"verb-framed","Basque","ba.5","2a","ascending",1,"et_tr_sp_l_ju_r","57","tr","left",1,1
"verb-framed","Basque","ba.5","2a","ascending",2,"et_rl_sl_u_ro_d","52","rl","left",1,1
"verb-framed","Basque","ba.5","2a","ascending",3,"et_hc_sp_l_r_ju","58","hc","right",1,1
"verb-framed","Basque","ba.5","2a","ascending",4,"et_rl_ro_u_d_sl","34","rl","right",1,1
"verb-framed","Basque","ba.5","2a","ascending",5,"et_tr_sl_r_l_ro","47","tr","right",1,1
"verb-framed","Basque","ba.5","2a","ascending",6,"et_rl_ju_d_sp_u","2","rl","left",1,1
"verb-framed","Basque","ba.5","2a","ascending",7,"et_hc_sl_r_ro_l","49","hc","left",1,1
"verb-framed","Basque","ba.5","2a","ascending",8,"et_tr_ju_l_r_sp","5","tr","right",1,1
"verb-framed","Basque","ba.5","2a","ascending",9,"et_hc_ju_l_sp_r","8","hc","left",1,1
"verb-framed","Basque","ba.5","2a","ascending",10,"et_tr_ro_r_sl_l","31","tr","left",1,1
"verb-framed","Basque","ba.5","2a","ascending",11,"et_hc_ro_r_l_sl","29","hc","right",1,1
"verb-framed","Basque","ba.5","2a","ascending",12,"et_rl_sp_d_u_ju","54","rl","right",1,1
